label,R_mean,G_mean,B_mean,R_std,G_std,B_std,Aspect_Ratio,Area,Perimeter,Homogeneity,Contrast
plug,0.4198041454930778,0.3045211148803009,0.2732089099600343,0.6355103701234478,0.4881178756419561,0.3927568134944653,0.058210947930574,0.3316015132408575,0.2804058343179915,0.5537894115659417,0.1795495922607334
screw,0.0792946870065005,0.0780003648180372,0.0856756797918562,0.2238407751759498,0.2346208887187129,0.2332720448456213,0.0571428571428571,0.1081967213114754,0.1615994852565446,0.8517057665018443,0.1599172623351424
screw,0.1470357979186831,0.1200233343790299,0.1181570676936395,0.3110643574929603,0.2677162406843392,0.2348175519808016,0.0219336219336219,0.1301891551071879,0.23806211717767,0.6851757572647007,0.0220894921335151
screw,0.0663593880068899,0.0586481539675118,0.0623926531860205,0.1503848235502221,0.1427905247139399,0.1376770086626554,0.1246753246753246,0.0146279949558638,0.1253381973541345,0.8062449496405285,0.1190012172687418
nail,0.071077817564462,0.0536375883857219,0.0508331037230816,0.2400035907201759,0.1947594941845142,0.1660860481798805,0.0097812097812097,0.0590163934426229,0.206604023372506,0.8554591799297745,0.1693575566762156
nail,0.0184276339253373,0.0164030658083227,0.0176768634445584,0.0445418040590259,0.0419175086562132,0.0414082088279928,0.0311688311688311,0.0005548549810844,0.0213965686224188,0.80093119376615,0.1577564181180842
nail,0.1153855895704615,0.1145793746455308,0.1318885399036211,0.1898149122424688,0.200330368836325,0.2115056187298531,0.050946643717728,0.0752585119798234,0.204265034913641,0.5937374047433309,0.0926642809419646
screw,0.0803693687779631,0.0754016663303823,0.0818878304781421,0.234056310111829,0.2355758912793118,0.2322116153123716,0.0388571428571428,0.1013871374527112,0.1185454542347315,0.8794047988056662,0.1046200931713969
plug,0.2536390223059878,0.2462482710574249,0.3020906012021108,0.3389559583228276,0.3226661454048234,0.3166774683778533,0.038095238095238,0.1253972257250945,0.1886233468920693,0.2291808549073899,0.1337444101738039
screw,0.2113107296447453,0.1648687549673559,0.1488760247641746,0.5141839216561863,0.4287696089439771,0.3440279740848314,0.0391836734693877,0.1479949558638083,0.2367219459692706,0.7554496484782901,0.1550607810655219
screw,0.0132843340418011,0.0128826633314508,0.0133803952993151,0.0886021768222952,0.091011384410199,0.0862508776930915,0.0571428571428571,0.0166456494325346,0.0494720961887506,0.9730239640202316,0.0182809236598603
screw,0.0526787835128879,0.0510475496466993,0.0529933870573903,0.1949580393746748,0.2048004954988423,0.1936182778938974,0.0736507936507936,0.057452711223203,0.1250496936034367,0.9110103125739516,0.0648251800734022
screw,0.0403647427022544,0.046205320992009,0.0588262561958738,0.1829512483234382,0.2213596573927819,0.2510808648348053,0.1542857142857143,0.0419167717528373,0.1117860376864948,0.9241224014675692,0.0454947327957825
screw,0.122518858069919,0.1177281225158188,0.1280130201053412,0.3123060292462034,0.3187194240946353,0.3135180943360154,0.0685714285714285,0.1421941992433795,0.1812007476863603,0.8156214003360115,0.1150087222339169
screw,0.0594136477440393,0.0513366993878888,0.052984086238319,0.136471793510102,0.1244574573364994,0.1175326105410714,0.0349206349206349,0.0363177805800756,0.3003955791622639,0.8005935052674581,0.1369981969778786
screw,0.7183494491717473,0.6644307975715554,0.7021738012833962,0.838274659211321,0.8222599871153502,0.7875787020364217,0.0535714285714285,0.5376040353089533,0.3045827224940734,0.3769846447655545,0.1139739156698181
screw,0.0523843756516069,0.047634648374229,0.0505436774671721,0.1240012126164459,0.1196163683918914,0.1146354149905067,0.038095238095238,0.0084741488020176,0.0350625120838249,0.8015410592779216,0.1539242730709036
screw,0.1578563131835626,0.1373612696212249,0.1400640015215735,0.382368128569172,0.3563546294252931,0.3302877737612699,0.0267477203647416,0.1573266078184111,0.1864395572352696,0.7824426952512958,0.211301745362023
nail,0.0052437051959705,0.0056353420141631,0.0076520867364603,0.0316538870179154,0.0362025456731357,0.042021579484131,0.4571428571428571,0.001311475409836,0.0516225598469694,0.9767678677038766,0.0
plug,0.0858645497058936,0.0824033696663617,0.0882828070837445,0.277641154238203,0.2857512184940363,0.2770295781674377,0.0465608465608465,0.0821185372005044,0.131032142364402,0.8760633246332018,0.1913375129277601
screw,0.1283561578433563,0.1264576123462098,0.138717054880467,0.2891404240880011,0.3034710213195254,0.3003793690067502,0.1114982578397212,0.171702395964691,0.220417077007983,0.7914780652547001,0.0906450426044059
plug,0.1615955957596839,0.1556709721417785,0.170231800265803,0.4094842320907553,0.4228063138350255,0.4190697141731462,0.0469083155650319,0.1359899117276166,0.1555503833532467,0.8157576523827587,0.2480914507463779
screw,0.1136970394222133,0.0972490089161651,0.0983857399788444,0.3499166150290623,0.3197879600885561,0.291476238625185,0.0374603174603174,0.0867591424968474,0.2029857996775448,0.8289715476604606,0.1399887608570303
nail,0.0369238919563937,0.0331550967497458,0.0364567598476113,0.0588331057492038,0.0560774358561143,0.056965710832939,0.0761904761904761,0.0018158890290037,0.0154612500357327,0.6854079554559976,0.0320713886931292
screw,0.1578474128160376,0.1373415211011867,0.1401053345281434,0.3823833982129015,0.3563340517378315,0.3303013092235091,0.0267477203647416,0.1573266078184111,0.1864395572352696,0.7826438926460945,0.2112619141322154
nail,0.1018508884252257,0.094867210864411,0.1059905847430677,0.3095225942561806,0.2989763992944336,0.2881595195741231,0.0768959435626102,0.0660277427490542,0.2381954209811316,0.7243953735492236,0.1226536092475814
screw,0.0796380844963559,0.081061526646222,0.0908051320899103,0.2113180707598309,0.2264352033639057,0.2280682093742928,0.0416149068322981,0.0933669609079445,0.3048907482585153,0.7807899061203111,0.1734177062263753
screw,0.0292903193822651,0.0268911525923411,0.026946499779297,0.1195946104042383,0.1163520051765547,0.1071009681810452,0.0193277310924369,0.0351071878940731,0.1401362646369641,0.9069042224472,0.2096803800075049
screw,0.0533546912120417,0.0569265812522886,0.0659418350324863,0.1442085903950435,0.1620492219817515,0.1694086629294809,0.1346938775510204,0.0599243379571248,0.2341163469451244,0.8590843724104767,0.0442114935795938
plug,0.1910590214141883,0.1676670456914273,0.174664655133956,0.3321088535750801,0.3111664234843214,0.2953293904143206,0.0702702702702702,0.2283984867591424,0.3004898431371969,0.6193758195486211,0.1252140104886463
plug,0.2084118924775666,0.1796977695333857,0.1848997096450754,0.403223637224275,0.3721333627360126,0.3486401164925576,0.0736660929432013,0.2071626733921815,0.2969992074117006,0.68912935921334,0.1598672536403657
plug,0.4714993353664261,0.4543998640300838,0.5160635904824965,0.6991045881428735,0.7192670784708766,0.7347991954580011,0.0602597402597402,0.4102395964691047,0.2851285714789303,0.5267951570869932,0.3880127035264182
screw,0.0371592659363122,0.031761820584598,0.0332180694518804,0.096065143554672,0.0876639981404497,0.0836096995340413,0.0876190476190476,0.0090794451450189,0.0611818177717515,0.8627714547799387,0.1055940546031978
plug,0.0178277350514542,0.0161568137390928,0.0627067566630998,0.0808089579897125,0.0769688341203404,0.142457339615181,0.0253968253968253,0.0080201765447667,0.1009670666347916,0.8036392270705216,0.050976652236388
plug,0.204037813125247,0.2038100572288427,0.3488955361033506,0.3676147052349176,0.3856933068961823,0.5239931293216425,0.1047619047619047,0.2340479192938209,0.4676832951219739,0.5710004497604381,0.1946973943127007
screw,0.0792995320657236,0.0779822996672699,0.0856590061545961,0.2238488398403324,0.2345731049540785,0.2332294858642107,0.0571428571428571,0.1080958385876418,0.1615994852565446,0.8515821204775061,0.1563302550772919
nail,0.0323271874604555,0.0298175799166092,0.0335128631670363,0.0872263020943705,0.0845898598167053,0.0832780048802591,0.0415584415584415,0.0038335435056746,0.112321630561315,0.7704712490164222,0.2654303365336212
screw,0.0668821529738328,0.0544448995245286,0.0544396138426967,0.1444864017080713,0.1263570548965387,0.1146288557889174,0.0258064516129032,0.0153341740226986,0.0849230916413412,0.7746834027974531,0.2483207731944609
screw,0.0681126977306795,0.0608574236156594,0.0633770345007092,0.1478249271381751,0.1424527934184759,0.1351764078428704,0.0148148148148148,0.0188146279949558,0.1148743835771852,0.7832117541551246,0.2404517622939566
plug,0.3390724718203914,0.3315452698856099,0.4283000382197166,0.423050061954251,0.4404878500763312,0.4729133279874418,0.0385714285714285,0.4727364438839849,0.4344298947424832,0.4358229333232252,0.2429286204592672
